Dataset	Method	Selected
DLPFC	TFs-N2000	1462
DLPFC	all_features-Nall	21686
DLPFC	anticor-N2000	2000
DLPFC	hotspot-N2000	2000
DLPFC	nbumi-N2000	2000
DLPFC	osca-N2000	2000
DLPFC	random-N500	500
DLPFC	scPNMF-N2000	2000
DLPFC	scanpy_cell_ranger-N2000	2000
DLPFC	scanpy_cell_ranger_batch-N2000	2000
DLPFC	scanpy_pearson-N2000	2000
DLPFC	scanpy_pearson_batch-N2000	2000
DLPFC	scanpy_seurat-N2000	2000
DLPFC	scanpy_seurat_batch-N2000	2000
DLPFC	scanpy_seurat_v3-N2000	2000
DLPFC	scanpy_seurat_v3_batch-N2000	2000
DLPFC	scsegindex-N2000	2000
DLPFC	seurat_sct-N2000	2000
DLPFC	statistic_mean-N2000	2000
DLPFC	statistic_variance-N2000	2000
DLPFC	triku-N2000	2000
E8p5Embryo	TFs-N2000	1211
E8p5Embryo	all_features-Nall	18703
E8p5Embryo	anticor-N2000	2000
E8p5Embryo	hotspot-N2000	2000
E8p5Embryo	nbumi-N2000	2000
E8p5Embryo	osca-N2000	2000
E8p5Embryo	random-N500	500
E8p5Embryo	scPNMF-N2000	2000
E8p5Embryo	scanpy_cell_ranger-N2000	2000
E8p5Embryo	scanpy_cell_ranger_batch-N2000	2000
E8p5Embryo	scanpy_pearson-N2000	2000
E8p5Embryo	scanpy_pearson_batch-N2000	2000
E8p5Embryo	scanpy_seurat-N2000	2000
E8p5Embryo	scanpy_seurat_batch-N2000	2000
E8p5Embryo	scanpy_seurat_v3-N2000	2000
E8p5Embryo	scanpy_seurat_v3_batch-N2000	2000
E8p5Embryo	scsegindex-N2000	1475
E8p5Embryo	seurat_sct-N2000	2000
E8p5Embryo	statistic_mean-N2000	2000
E8p5Embryo	statistic_variance-N2000	2000
E8p5Embryo	triku-N2000	2000
E9p5Embryo	TFs-N2000	1243
E9p5Embryo	all_features-Nall	19660
E9p5Embryo	anticor-N2000	2000
E9p5Embryo	hotspot-N2000	2000
E9p5Embryo	nbumi-N2000	2000
E9p5Embryo	osca-N2000	2000
E9p5Embryo	random-N500	500
E9p5Embryo	scPNMF-N2000	2000
E9p5Embryo	scanpy_cell_ranger-N2000	2000
E9p5Embryo	scanpy_cell_ranger_batch-N2000	2000
E9p5Embryo	scanpy_pearson-N2000	2000
E9p5Embryo	scanpy_pearson_batch-N2000	2000
E9p5Embryo	scanpy_seurat-N2000	2000
E9p5Embryo	scanpy_seurat_batch-N2000	2000
E9p5Embryo	scanpy_seurat_v3-N2000	2000
E9p5Embryo	scanpy_seurat_v3_batch-N2000	2000
E9p5Embryo	scsegindex-N2000	995
E9p5Embryo	seurat_sct-N2000	2000
E9p5Embryo	statistic_mean-N2000	2000
E9p5Embryo	statistic_variance-N2000	2000
E9p5Embryo	triku-N2000	2000
MouseBrainSerialSections	TFs-N2000	1178
MouseBrainSerialSections	all_features-Nall	20056
MouseBrainSerialSections	anticor-N2000	2000
MouseBrainSerialSections	hotspot-N2000	2000
MouseBrainSerialSections	nbumi-N2000	2000
MouseBrainSerialSections	osca-N2000	2000
MouseBrainSerialSections	random-N500	500
MouseBrainSerialSections	scPNMF-N2000	2000
MouseBrainSerialSections	scanpy_cell_ranger-N2000	2000
MouseBrainSerialSections	scanpy_cell_ranger_batch-N2000	2000
MouseBrainSerialSections	scanpy_pearson-N2000	2000
MouseBrainSerialSections	scanpy_pearson_batch-N2000	2000
MouseBrainSerialSections	scanpy_seurat-N2000	2000
MouseBrainSerialSections	scanpy_seurat_batch-N2000	2000
MouseBrainSerialSections	scanpy_seurat_v3-N2000	2000
MouseBrainSerialSections	scanpy_seurat_v3_batch-N2000	2000
